,弹幕内容
491,乱世之中就不怎么讲规矩了
492,扇子这样使有风吗
493,俺也一样！
494,俺也一样
495,卧槽卧槽
496,就是豆粉
497,Princess connect: re dive
498,这时候是刘焉，他之后才转到益州的。同时刘虞才到幽州
499,孙乾
500,曹老板
501,刘备好感＋10
502,张角可太惨了，黄巾军成了各路豪强刷经验的
503,刘大力
504,张飞把我逗笑了
505,商业互吹
506,孙坚钱多地位高，刘备只是个汉室末裔
507,俺也一样
508,真的nb
509,我来看我的丞相来了！！！
510,那时候麦伦宇杰已经成了常态了，My关于菊，卖官欲绝
511,来将可留姓名。
512,老公你说句话啊
513,一龙降二虎
514,这不就是军统
515,螺旋扇扇子
516,张飞关羽1V1
517,无限剑制
518,小破站牛批
519,合影
520,大弟  三哥   二弟
521,孙乾
522,拜的是天地啊
523,好好卖猪肉
524,苍天已经死，黄巾当立
525,嬴荡直呼内行
526,原始工具人
527,不刷闪的下场
528,俺也一样
529,哇真的来了
530,天使轮融资
531,最喜欢三国
532,雷霆之助，灭军毁城
533,精辟
534,太棒了这也
535,袁绍是你吗
536,土豪
537,曹老板
538,处处都是细节啊
539,哈哈
540,闭眼小儿
541,俺也一样
542,前方高能
543,名场面
544,我是大将军！谁敢杀我
545,塞给慕斯
546,有一个朋友
547,关老爷
548,塞给慕斯
549,48吧
550,张三爷
551,正是在下
552,汾酒必喝，喝酒必汾
553,拜的应该是五谷社稷吧
554,东汉其实也是小冰期
555,传销头头，刘备
556,?
557,空降 3:03
558,苍天已死黄天当立
559,看的我来气
560,三弟
561,？
562,刁民，分你肉了还不劝架
563,忽悠成功
564,第〇〇一回   宴桃园豪杰三结义 斩黄巾英雄首立功
565,战术哭泣
566,俺也一样
567,滚滚长江东逝水
568,你去打辅助
569,雷公助我
570,俺也一样
571,飞哥大英雄！
572,俺也一样！
573,关羽张飞：突然怎么就听不懂了
574,祸乱天下者何进也
575,忽悠，接着忽悠
576,我是来学文言文的，你们信吗？
577,名场面
578,三国关羽，水浒鲁达
579,你敢吼大哥？
580,奥斯卡影帝
581,刘备大型传销现场
582,感觉刘备心里偷着乐啊
583,俺也一样
584,sjaz石家庄赵云参见各位主公
585,合影留念~
586,俺也一样
587,爷的青春回来了
588,俺也一样
589,拿太多了
590,董太师武力也有八十几呀
591,梅花三弄
592,啊 二位SSR 真的
593,认字的读给不识字的听
594,这一拜
595,关羽：给年轻的老板上一课
596,皇天后土啊！怎么可能拜自己
597,哇塞  哇塞  哇哇塞塞
598,俺也一样
599,拜的谁？
600,俺也一样
601,俺也一样
602,想看诸葛和司徒的跳转69集
603,飞飞看傻了
604,a
605,红火火恍恍惚惚
606,牛魔王是你
607,来啦
608,舒服了
609,我摊牌了，不装了
610,哇瑟  哇瑟  哇哇瑟瑟
611,你们清醒一点啊
612,弹幕呢
613,苍天已死，黄天当立！
614,俺也一样
615,666
616,对不起，我来晚了
617,666
618,哈哈哈哈哈哈哈哈哈哈
619,俺也一样
620,俺也一样
621,俺也一样
622,真是妙蛙种子吃着妙脆角到了米奇妙妙屋妙到家了
623,山西运城
624,豹头环眼
625,哇塞  哇塞  哇哇塞塞
626,俺也一样
627,二爷第一男神
628,暴打一顿哈哈哈
629,地摊经济？
630,摆摊吧，后浪
631,哇塞哇塞  哇哇塞塞
632,到此一游
633,都邮:快点贿赂本官啊！本官很需要钱啊！
634,分手大师
635,分手大师
636,胡文海
637,俺也一样
638,牛逼
639,小破站牛逼
640,刘皇叔太强了
641,哼
642,拜关二爷？
643,都邮:快点贿赂本官啊！本官很需要钱啊！
644,666
645,哼
646,我去城外溜溜马
647,废史立牧
648,现磨豆浆
649,俺也亿样
650,正道的光
651,*6666
652,6666
653,倒拔垂杨柳
654,哈哈哈哈
655,哈哈哈哈
656,还真都是弟弟。。。。。
657,眼光太高太远了，佩服佩服
658,大招 用泪感动他人！！！！！
659,厚重
660,以德服人
661,？？？？？
662,古人吃的不好，老的快
663,暗自窃喜
664,俺也一样
665,我爱B站
666,牛逼牛逼牛逼牛逼
667,厉害厉害
668,滚滚长江东逝水
669,别用污辱这词呀
670,又放大招 以泪感人
671,牌面
672,俺也一样
673,俺也一样
674,哎呀飞飞好可爱
675,俺也一样 俺也一样 俺也一样
676,合影
677,开始了开始了
678,俺也一样
679,匡扶汉室，非B不可！！！
680,前方高能
