,弹幕内容
301,这鹅鹅鹅鹅
302,冲冲冲
303,垃圾 真的恶臭
304,老实巴交？？？？？？？？？
305,哈哈哈哈哈哈哈
306,屁
307,杨超越的账结一下
308,？？？？？？？
309,重新定义老实巴交
310,2333
311,超越妹妹广告费结一下
312,两个币拿去！
313,哈哈哈哈哈哈哈哈
314,用餐愉快
315,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
316,自家艺人随便用
317,老实巴交个鬼
318,哈哈哈哈哈哈哈哈哈哈
319,哈哈哈哈
320,？
321,哈哈哈哈哈哈哈
322,老实巴  交
323,超越妹妹啊
324,顺势宣传，6啊
325,哈哈哈哈哈哈哈哈哈
326,哈哈哈哈哈哈哈
327,对不起，我真的忍不住了，哈哈哈哈哈哈
328,哈哈哈哈哈
329,泪目了
330,哈哈哈哈哈哈哈哈哈哈哈哈
331,下饭
332,鹅鹅鹅鹅鹅鹅鹅鹅鹅
333,哈哈哈哈哈哈哈哈哈哈哈哈哈
334,严重了
335,应该请超越妹妹配音
336,这一千六百万不亏
337,疯狂消费自己，哈哈哈哈哈哈哈哈哈哈
338,正道的光！
339,官方吐槽最为致命哈哈哈。
340,哈哈哈哈哈哈
341,哈哈哈
342,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
343,哈哈哈哈
344,哈哈哈哈
345,感觉胜利不会到来
346,哈哈哈哈哈哈哈
347,哈哈哈哈哈哈哈哈哈哈
348,笑死我
349,再来亿遍
350,1600万哈哈哈
351,哈哈哈哈哈哈哈哈哈哈哈哈
352,评论区比视频还精彩
353,该啊哈哈哈哈哈哈哈哈哈
354,是我红油金针菇站的不够高吗
355,我先笑会儿哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
356,哈哈哈哈哈哈哈哈哈哈笑死企鹅肉
357,可拉倒吧。老干妈早就不辣了
358,腾讯狼子野心，罪不容诛，还有脸诉苦，人人得而诛之
359,老实巴交和你有半毛钱关系？
360,你老实巴交！！！！！！！！？
361,哈哈哈哈，还辣吗？
362,呵呵哈哈哈呵呵哈哈哈
363,haahhaahahahah
364,掉毛绝了
365,正道的光！
366,你能还我小企鹅的笑容吗？
367,老干妈真的是……一句话NB
